,date,predicted classification
0,2014-12-01,1.0
1,2014-12-02,0.0
2,2014-12-03,1.0
3,2014-12-04,1.0
4,2014-12-05,0.0
5,2014-12-06,1.0
6,2014-12-07,1.0
7,2014-12-08,0.0
8,2014-12-09,0.0
9,2014-12-10,1.0
10,2014-12-11,0.0
11,2014-12-12,0.0
12,2014-12-13,0.0
13,2014-12-14,0.0
14,2014-12-15,0.0
15,2014-12-16,0.0
16,2014-12-17,1.0
17,2014-12-18,1.0
18,2014-12-19,0.0
19,2014-12-20,0.0
20,2014-12-21,0.0
21,2014-12-22,1.0
22,2014-12-23,1.0
23,2014-12-24,1.0
24,2014-12-25,1.0
25,2014-12-26,1.0
26,2014-12-27,1.0
27,2014-12-28,1.0
28,2014-12-29,0.0
29,2014-12-30,0.0
30,2014-12-31,0.0
